#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A80C3F
#Date Time: 2022-11-04 13:37:39.656
#Sample rate: 5e+07Hz
#Samples: 4096

Time (s),CS,SCLK,MOSI,MISO
-1.918e-05,1,1,0,0
-1.916e-05,1,1,0,0
-1.914e-05,1,1,0,0
-1.912e-05,1,1,0,0
-1.91e-05,1,1,0,0
-1.908e-05,1,1,0,0
-1.906e-05,1,1,0,0
-1.904e-05,1,1,0,0
-1.902e-05,1,1,0,0
-1.9e-05,1,1,0,0
-1.898e-05,1,1,0,0
-1.896e-05,1,1,0,0
-1.894e-05,1,1,0,0
-1.892e-05,1,1,0,0
-1.89e-05,1,1,0,0
-1.888e-05,1,1,0,0
-1.886e-05,1,1,0,0
-1.884e-05,1,1,0,0
-1.882e-05,1,1,0,0
-1.88e-05,1,1,0,0
-1.878e-05,1,1,0,0
-1.876e-05,1,1,0,0
-1.874e-05,1,1,0,0
-1.872e-05,1,1,0,0
-1.87e-05,1,1,0,0
-1.868e-05,1,1,0,0
-1.866e-05,1,1,0,0
-1.864e-05,1,1,0,0
-1.862e-05,1,1,0,0
-1.86e-05,1,1,0,0
-1.858e-05,1,1,0,0
-1.856e-05,1,1,0,0
-1.854e-05,1,1,0,0
-1.852e-05,1,1,0,0
-1.85e-05,1,1,0,0
-1.848e-05,1,1,0,0
-1.846e-05,1,1,0,0
-1.844e-05,1,1,0,0
-1.842e-05,1,1,0,0
-1.84e-05,1,1,0,0
-1.838e-05,1,1,0,0
-1.836e-05,1,1,0,0
-1.834e-05,1,1,0,0
-1.832e-05,1,1,0,0
-1.83e-05,1,1,0,0
-1.828e-05,1,1,0,0
-1.826e-05,1,1,0,0
-1.824e-05,1,1,0,0
-1.822e-05,1,1,0,0
-1.82e-05,1,1,0,0
-1.818e-05,1,1,0,0
-1.816e-05,1,1,0,0
-1.814e-05,1,1,0,0
-1.812e-05,1,1,0,0
-1.81e-05,1,1,0,0
-1.808e-05,1,1,0,0
-1.806e-05,1,1,0,0
-1.804e-05,1,1,0,0
-1.802e-05,1,1,0,0
-1.8e-05,1,1,0,0
-1.798e-05,1,1,0,0
-1.796e-05,1,1,0,0
-1.794e-05,1,1,0,0
-1.792e-05,1,1,0,0
-1.79e-05,1,1,0,0
-1.788e-05,1,1,0,0
-1.786e-05,1,1,0,0
-1.784e-05,1,1,0,0
-1.782e-05,1,1,0,0
-1.78e-05,1,1,0,0
-1.778e-05,1,1,0,0
-1.776e-05,1,1,0,0
-1.774e-05,1,1,0,0
-1.772e-05,1,1,0,0
-1.77e-05,1,1,0,0
-1.768e-05,1,1,0,0
-1.766e-05,1,1,0,0
-1.764e-05,1,1,0,0
-1.762e-05,1,1,0,0
-1.76e-05,1,1,0,0
-1.758e-05,1,1,0,0
-1.756e-05,1,1,0,0
-1.754e-05,1,1,0,0
-1.752e-05,1,1,0,0
-1.75e-05,1,1,0,0
-1.748e-05,1,1,0,0
-1.746e-05,1,1,0,0
-1.744e-05,1,1,0,0
-1.742e-05,1,1,0,0
-1.74e-05,1,1,0,0
-1.738e-05,1,1,0,0
-1.736e-05,1,1,0,0
-1.734e-05,1,1,0,0
-1.732e-05,1,1,0,0
-1.73e-05,1,1,0,0
-1.728e-05,1,1,0,0
-1.726e-05,1,1,0,0
-1.724e-05,1,1,0,0
-1.722e-05,1,1,0,0
-1.72e-05,1,1,0,0
-1.718e-05,1,1,0,0
-1.716e-05,1,1,0,0
-1.714e-05,1,1,0,0
-1.712e-05,1,1,0,0
-1.71e-05,1,1,0,0
-1.708e-05,1,1,0,0
-1.706e-05,1,1,0,0
-1.704e-05,1,1,0,0
-1.702e-05,1,1,0,0
-1.7e-05,1,1,0,0
-1.698e-05,1,1,0,0
-1.696e-05,1,1,0,0
-1.694e-05,1,1,0,0
-1.692e-05,1,1,0,0
-1.69e-05,1,1,0,0
-1.688e-05,1,1,0,0
-1.686e-05,1,1,0,0
-1.684e-05,1,1,0,0
-1.682e-05,1,1,0,0
-1.68e-05,1,1,0,0
-1.678e-05,1,1,0,0
-1.676e-05,1,1,0,0
-1.674e-05,1,1,0,0
-1.672e-05,1,1,0,0
-1.67e-05,1,1,0,0
-1.668e-05,1,1,0,0
-1.666e-05,1,1,0,0
-1.664e-05,1,1,0,0
-1.662e-05,1,1,0,0
-1.66e-05,1,1,0,0
-1.658e-05,1,1,0,0
-1.656e-05,1,1,0,0
-1.654e-05,1,1,0,0
-1.652e-05,1,1,0,0
-1.65e-05,1,1,0,0
-1.648e-05,1,1,0,0
-1.646e-05,1,1,0,0
-1.644e-05,1,1,0,0
-1.642e-05,1,1,0,0
-1.64e-05,1,1,0,0
-1.638e-05,1,1,0,0
-1.636e-05,1,1,0,0
-1.634e-05,1,1,0,0
-1.632e-05,1,1,0,0
-1.63e-05,1,1,0,0
-1.628e-05,1,1,0,0
-1.626e-05,1,1,0,0
-1.624e-05,1,1,0,0
-1.622e-05,1,1,0,0
-1.62e-05,1,1,0,0
-1.618e-05,1,1,0,0
-1.616e-05,1,1,0,0
-1.614e-05,1,1,0,0
-1.612e-05,1,1,0,0
-1.61e-05,1,1,0,0
-1.608e-05,1,1,0,0
-1.606e-05,1,1,0,0
-1.604e-05,1,1,0,0
-1.602e-05,1,1,0,0
-1.6e-05,1,1,0,0
-1.598e-05,1,1,0,0
-1.596e-05,1,1,0,0
-1.594e-05,1,1,0,0
-1.592e-05,1,1,0,0
-1.59e-05,1,1,0,0
-1.588e-05,1,1,0,0
-1.586e-05,1,1,0,0
-1.584e-05,1,1,0,0
-1.582e-05,1,1,0,0
-1.58e-05,1,1,0,0
-1.578e-05,1,1,0,0
-1.576e-05,1,1,0,0
-1.574e-05,1,1,0,0
-1.572e-05,1,1,0,0
-1.57e-05,1,1,0,0
-1.568e-05,1,1,0,0
-1.566e-05,1,1,0,0
-1.564e-05,1,1,0,0
-1.562e-05,1,1,0,0
-1.56e-05,1,1,0,0
-1.558e-05,1,1,0,0
-1.556e-05,1,1,0,0
-1.554e-05,1,1,0,0
-1.552e-05,1,1,0,0
-1.55e-05,1,1,0,0
-1.548e-05,1,1,0,0
-1.546e-05,1,1,0,0
-1.544e-05,1,1,0,0
-1.542e-05,1,1,0,0
-1.54e-05,1,1,0,0
-1.538e-05,1,1,0,0
-1.536e-05,1,1,0,0
-1.534e-05,1,1,0,0
-1.532e-05,1,1,0,0
-1.53e-05,1,1,0,0
-1.528e-05,1,1,0,0
-1.526e-05,1,1,0,0
-1.524e-05,1,1,0,0
-1.522e-05,1,1,0,0
-1.52e-05,1,1,0,0
-1.518e-05,1,1,0,0
-1.516e-05,1,1,0,0
-1.514e-05,1,1,0,0
-1.512e-05,1,1,0,0
-1.51e-05,1,1,0,0
-1.508e-05,1,1,0,0
