x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-24.80000E-03,,,,
-24.77500E-03,,,,
-24.75000E-03,+438.81936E-03,-18.84422E-03,-6.15578E-03,+0.0E+00
-24.72500E-03,+438.81936E-03,+0.0E+00,+6.40703E-03,+0.0E+00
-24.70000E-03,+438.81936E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-24.67500E-03,+438.81936E-03,-11.30653E-03,-13.69347E-03,+0.0E+00
-24.65000E-03,+438.81936E-03,+0.0E+00,-6.15578E-03,+0.0E+00
-24.62500E-03,+438.81936E-03,+0.0E+00,+6.40703E-03,+0.0E+00
-24.60000E-03,+438.81936E-03,+0.0E+00,-23.74372E-03,+0.0E+00
-24.57500E-03,+438.81936E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.55000E-03,+438.81936E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.52500E-03,+456.40730E-03,+0.0E+00,+6.40703E-03,+0.0E+00
-24.50000E-03,+438.81936E-03,+0.0E+00,-23.74372E-03,+0.0E+00
-24.47500E-03,+416.20630E-03,-40.20100E-03,+3.89447E-03,+0.0E+00
-24.45000E-03,+438.81936E-03,-40.20100E-03,-25.00000E-03,+0.0E+00
-24.42500E-03,+421.23142E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-24.40000E-03,+438.81936E-03,+0.0E+00,+13.94472E-03,+0.0E+00
-24.37500E-03,+438.81936E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-24.35000E-03,+438.81936E-03,+0.0E+00,+15.20100E-03,+0.0E+00
-24.32500E-03,+456.40730E-03,-31.40703E-03,+6.40703E-03,+0.0E+00
-24.30000E-03,+436.30680E-03,+0.0E+00,+13.94472E-03,-1.25628E-03
-24.27500E-03,+438.81936E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-24.25000E-03,+438.81936E-03,+0.0E+00,-3.64322E-03,+0.0E+00
-24.22500E-03,+438.81936E-03,-8.79397E-03,-25.00000E-03,+0.0E+00
-24.20000E-03,+438.81936E-03,+0.0E+00,+13.94472E-03,+0.0E+00
-24.17500E-03,+381.03042E-03,+0.0E+00,-13.69347E-03,+0.0E+00
-24.15000E-03,+438.81936E-03,+18.84422E-03,-25.00000E-03,+0.0E+00
-24.12500E-03,+438.81936E-03,+0.0E+00,-16.20603E-03,+0.0E+00
-24.10000E-03,+438.81936E-03,-38.94472E-03,-25.00000E-03,-38.94472E-03
-24.07500E-03,+438.81936E-03,-11.30653E-03,-13.69347E-03,+0.0E+00
-24.05000E-03,+438.81936E-03,+0.0E+00,-3.64322E-03,+0.0E+00
-24.02500E-03,+438.81936E-03,-8.79397E-03,-25.00000E-03,+8.79397E-03
-24.00000E-03,+438.81936E-03,+1.25628E-03,+15.20100E-03,+0.0E+00
-23.97500E-03,+438.81936E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-23.95000E-03,+438.81936E-03,-21.35678E-03,+15.20100E-03,+21.35678E-03
-23.92500E-03,+438.81936E-03,-8.79397E-03,-16.20603E-03,+0.0E+00
-23.90000E-03,+438.81936E-03,+0.0E+00,-25.00000E-03,+0.0E+00
-23.87500E-03,+3.07952285E+00,+80.40201E-03,-25.00000E-03,+0.0E+00
-23.85000E-03,+4.65741228E+00,+302.76382E-03,+55.40201E-03,+40.20100E-03
-23.82500E-03,+4.63731178E+00,+473.61809E-03,+86.80904E-03,+71.60804E-03
-23.80000E-03,+4.77801530E+00,+603.01507E-03,+96.85929E-03,+42.71357E-03
-23.77500E-03,+4.70012585E+00,+694.72361E-03,+135.80402E-03,+80.40201E-03
-23.75000E-03,+4.74283942E+00,+782.66331E-03,+154.64824E-03,+80.40201E-03
-23.72500E-03,+4.76293992E+00,+835.42713E-03,+135.80402E-03,+80.40201E-03
-23.70000E-03,+4.70012585E+00,+883.16582E-03,+174.74874E-03,+80.40201E-03
-23.67500E-03,+4.75791479E+00,+884.42210E-03,+147.11055E-03,+120.60301E-03
-23.65000E-03,+4.70012585E+00,+924.62311E-03,+176.00502E-03,+99.24623E-03
-23.62500E-03,+4.76293992E+00,+924.62311E-03,+176.00502E-03,+80.40201E-03
-23.60000E-03,+4.70012585E+00,+924.62311E-03,+176.00502E-03,+120.60301E-03
-23.57500E-03,+4.70012585E+00,+924.62311E-03,+164.69849E-03,+120.60301E-03
-23.55000E-03,+4.65741228E+00,+924.62311E-03,+157.16080E-03,+101.75879E-03
-23.52500E-03,+4.70012585E+00,+964.82411E-03,+207.41206E-03,+120.60301E-03
-23.50000E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+80.40201E-03
-23.47500E-03,+4.70012585E+00,+935.92964E-03,+204.89949E-03,+91.70854E-03
-23.45000E-03,+4.70012585E+00,+945.97989E-03,+176.00502E-03,+120.60301E-03
-23.42500E-03,+4.70012585E+00,+964.82411E-03,+184.79899E-03,+89.19598E-03
-23.40000E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+81.65829E-03
-23.37500E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+109.29648E-03
-23.35000E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+120.60301E-03
-23.32500E-03,+4.76293992E+00,+964.82411E-03,+184.79899E-03,+80.40201E-03
-23.30000E-03,+4.62474897E+00,+964.82411E-03,+214.94975E-03,+119.34673E-03
-23.27500E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+91.70854E-03
-23.25000E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+120.60301E-03
-23.22500E-03,+4.63731178E+00,+964.82411E-03,+176.00502E-03,+120.60301E-03
-23.20000E-03,+4.62223640E+00,+964.82411E-03,+174.74874E-03,+120.60301E-03
-23.17500E-03,+4.70012585E+00,+935.92964E-03,+176.00502E-03,+120.60301E-03
-23.15000E-03,+4.70012585E+00,+964.82411E-03,+197.36181E-03,+120.60301E-03
-23.12500E-03,+4.70012585E+00,+964.82411E-03,+198.61809E-03,+120.60301E-03
-23.10000E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+120.60301E-03
-23.07500E-03,+4.67751279E+00,+964.82411E-03,+176.00502E-03,+80.40201E-03
-23.05000E-03,+4.65741228E+00,+964.82411E-03,+154.64824E-03,+101.75879E-03
-23.02500E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+89.19598E-03
-23.00000E-03,+4.70012585E+00,+963.56783E-03,+214.94975E-03,+120.60301E-03
-22.97500E-03,+4.72273892E+00,+993.71858E-03,+176.00502E-03,+109.29648E-03
-22.95000E-03,+4.70012585E+00,+964.82411E-03,+197.36181E-03,+101.75879E-03
-22.92500E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+152.01005E-03
-22.90000E-03,+4.70012585E+00,+964.82411E-03,+177.26130E-03,+81.65829E-03
-22.87500E-03,+4.67751279E+00,+964.82411E-03,+176.00502E-03,+120.60301E-03
-22.85000E-03,+4.66243741E+00,+964.82411E-03,+176.00502E-03,+80.40201E-03
-22.82500E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+111.80904E-03
-22.80000E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+119.34673E-03
-22.77500E-03,+4.75791479E+00,+935.92964E-03,+176.00502E-03,+91.70854E-03
-22.75000E-03,+4.70012585E+00,+945.97989E-03,+194.84924E-03,+120.60301E-03
-22.72500E-03,+4.63731178E+00,+964.82411E-03,+176.00502E-03,+120.60301E-03
-22.70000E-03,+4.70012585E+00,+964.82411E-03,+176.00502E-03,+120.60301E-03
