Format Version,1.0,
Take Name,Take 2022-10-21 01.58.24 PM,
Capture Frame Rate,300.00,
Export Frame Rate,300.00,
Capture Start Time,21 Oct 2022 13:58:24 +0900,
Total Frames In Take,32253,
Total Exported Frames,32253,
Coordinate Space,Local,
Device Name,AMTI 3194 3194,
Device Type,2,
Device Channel Count,6,
Mocap Rate,300.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,1,
PosX_PosY_X,0.502139,
PosX_PosY_Y,-0.000029,
PosX_PosY_Z,0.501192,
NegX_PosY_X,-0.000017,
NegX_PosY_Y,0.000014,
NegX_PosY_Z,0.501749,
NegX_NegY_X,-0.000020,
NegX_NegY_Y,0.000034,
NegX_NegY_Z,0.000002,
PosX_NegY_X,0.502136,
PosX_NegY_Y,-0.000009,
PosX_NegY_Z,-0.000555,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz, Tz
0,0.000000,0,-12.546875,0.394867,675.437500,54.044922,5.425537,-2.613525,-0.008033,0.080015,0.000000,-3.614288
1,0.003000,1,-12.526367,1.174255,675.062500,53.957031,5.402832,-2.598633,-0.008003,0.079929,0.000000,-3.590454
2,0.006000,2,-12.654785,1.380493,675.187500,54.025391,5.447021,-2.563721,-0.008067,0.080015,0.000000,-3.565161
3,0.010000,3,-12.838867,1.188843,675.156250,54.074219,5.368164,-2.499634,-0.007951,0.080091,0.000000,-3.518464
4,0.013000,4,-12.205566,0.527161,675.062500,54.021484,5.364258,-2.384399,-0.007946,0.080024,0.000000,-3.356954
5,0.016000,5,-12.527832,0.888519,675.312500,54.009766,5.306152,-2.286987,-0.007857,0.079977,0.000000,-3.281950
6,0.020000,6,-12.954102,0.544159,675.437500,54.037109,5.411621,-2.283081,-0.008012,0.080003,0.000000,-3.315090
7,0.023000,7,-13.412109,-0.091309,675.437500,54.144531,5.395752,-2.282959,-0.007989,0.080162,0.000000,-3.358832
8,0.026000,8,-13.449707,0.405609,675.062500,54.158203,5.418701,-2.414307,-0.008027,0.080227,0.000000,-3.490080
9,0.030000,9,-12.825684,0.323502,675.156250,54.091797,5.319092,-2.650024,-0.007878,0.080117,0.000000,-3.675037
